FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;68;67;M3;84,03;67817,15;67817,15;111249,41;440089316
2312;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;68;67;M3;9,96;8044,38;8044,38;8120,31;32122971,91
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;294;356,42;294;1837,5;7245317,62
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;195;236,4;195;679,25;2678303,12
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;360;436,43;360;1918;7562731,54
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;60;72,73;60;277,5;1094190,82
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;26;1,82;1,82;130,98;523724,83
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;299;20,93;20,93;1511,17;6042428,35
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;12;0,84;0,84;96,9;387455,61
2312;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;3;0,21;0,21;21,42;85648,08
2312;3;23;DEU;3;BOG;5;3;253;1;198;1;8;2;5;11;U;25453;3582;2282;13980,34;55900529,29
2312;3;23;DEU;3;BOG;5;3;573;1;198;1;8;2;5;33;KG;8320;8900;8320;21815,44;85791181,18
2312;3;23;DEU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;2540;361,83;308;1494,74;5868005,44
2312;3;23;DEU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;40;5,87;5;2,01;7890,79
2312;3;23;DEU;3;BOG;5;8;618;1;198;1;8;2;5;33;KG;36;42,28;36;15;58886,55
2312;3;23;DEU;3;BOG;11;3;23;1;4;1;8;2;11;11;U;31;716;505;1500;5998815
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;1;11;11;U;3700;140,73;130;592;2324055,84
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;1;11;11;U;32840;1180,26;1080;5569,2;21866887,69
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;1;11;11;U;69;5475,96;3907;110274,04;436560252,8
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;11;U;1400;45,1;41;252;991012,68
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;11;U;25600;909,89;827;4411,2;17347441
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;11;U;500;19,49;18,37;1500;5974725
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;33;KG;30,63;32,5;30,63;2502;9965841,3
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;8;1;11;11;U;10600;393,18;348;1908;7629157,08
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;8;1;11;11;U;81040;2934,81;2676;14528;57782796,92
2312;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;50136;901;628,8;13865,57;55148535,49
