ADUA,COD_PAI4,CANTI,FOBDOL,FOBPES
1,USA,84,111249,440089316
1,PAN,10,8120,32122972
3,DEU,294,1838,7245318
3,DEU,195,679,2678303
3,DEU,360,1918,7562732
3,DEU,60,278,1094191
3,DEU,26,131,523725
3,DEU,299,1511,6042428
3,DEU,12,97,387456
3,DEU,3,21,85648
3,DEU,25453,13980,55900529
3,DEU,8320,21815,85791181
3,DEU,2540,1495,5868005
3,DEU,40,2,7891
3,DEU,36,15,58887
3,DEU,31,1500,5998815
3,DEU,3700,592,2324056
3,DEU,32840,5569,21866888
3,DEU,69,110274,436560253
3,DEU,1400,252,991013
3,DEU,25600,4411,17347441
3,DEU,500,1500,5974725
3,DEU,31,2502,9965841
3,DEU,10600,1908,7629157
3,DEU,81040,14528,57782797
3,DEU,50136,13866,55148535
3,DEU,2310,372,1496031
3,DEU,11830,2096,8432246
3,DEU,144,560,2234148
3,DEU,1374,6064,24190636
3,DEU,405,6055,24119328
3,DEU,560,19389,77216692
3,DEU,1,22500,89621313
3,DEU,11860,7616,30073660
3,DEU,216,11475,45403821
3,DEU,277,10214,40416088
3,DEU,771,14116,55855088
3,DEU,47,2640,10444699
3,DEU,110,3425,13553130
3,DEU,147,33328,133293643
3,DEU,440,684,2734061
3,DEU,1780,12056,48204037
3,DEU,288,214,856878
3,DEU,54155,19841,78605491
3,DEU,7,383,1499610
3,DEU,1,50,195772
3,DEU,12420,2236,8845733
3,DEU,525,5565,22162612
3,DEU,172,1486,5980381
3,DEU,5600,1064,4119223
3,DEU,8400,1592,6163348
3,DEU,5680,966,3860961
3,DEU,17160,3256,13019149
3,DEU,75940,13993,54935836
3,DEU,13410,2426,9574007
3,DEU,99968,18204,73079992
3,DEU,17163,18415,72847609
3,DEU,19280,2668,10536126
3,DEU,51040,7528,29616256
3,DEU,3660,659,2634218
3,DEU,20020,5137,20540346
3,DEU,1800,917,3628349
3,DEU,84,135475,548026180
3,DEU,7100,2767,10860800
3,DEU,1,972,3870865
3,DEU,2160,9490,36269726
3,DEU,6,22,88718
3,DEU,3,2,7765
3,DEU,36,149,587511
3,DEU,9400,42159,163199624
3,DEU,3200,800,3192704
3,DEU,21,112,449191
3,DEU,108,470,1887292
3,DEU,38,110,437837
3,DEU,50,438,1760154
3,DEU,35,181,726592
3,DEU,32,207,833086
3,DEU,50,172,687744
3,DEU,388,2683,10766905
3,DEU,385,2231,8923975
3,DEU,38,118,473823
3,DEU,29,243,971638
3,DEU,37,164855,648305433
3,DEU,98,11632,46526153
3,DEU,82,4363,17453127
3,DEU,1,8486,33373925
3,DEU,465,25101,98710762
3,DEU,2,5,19224
3,DEU,2,1971,7881721
3,DEU,12,11263,45043490
3,DEU,8460,1354,5354679
3,DEU,87120,16499,65516123
3,DEU,2,91000,353010550
3,DEU,4080,555,2195527
3,DEU,6800,925,3659212
3,DEU,15300,3825,15265116
3,DEU,24140,6035,24084961
3,DEU,4200,672,2658351
3,DEU,48160,7706,30482429
3,DEU,17700,4386,17504560
3,DEU,2400,707,2738393
3,DEU,985,6163,24194521
3,DEU,150,679,2628327
3,DEU,22900,3294,12929203
3,DEU,2898,2648878,10476910283
3,DEU,307,25974,103458338
3,DEU,1970685,11658,46612950
3,DEU,322,10299,41024214
3,DEU,675500,3152,12396192
3,ARM,2000,340,1367891
3,ARM,67,158,631365
3,ARM,1214,3656,14617753
3,ARM,147,323,1290319
3,ARM,400,74,294705
3,ARM,3550,607,2428776
3,ARM,9440,2926,11678911
3,ARM,800,140,557550
3,ARM,4190,770,3093280
3,ARM,35450,5939,23789197
3,ARM,1885,401,1611698
3,ARM,250,25,98919
3,ARM,7,20,79135
3,ARM,350,63,251906
3,ARM,350,60,237995
3,ARM,6050,992,3969911
3,ARM,4000,220,876293
3,ABW,13972,4318,17227122
3,ABW,3425,911,3603609
3,ABW,1548,435,1739752
3,ABW,258,40,158141
3,ABW,3502,587,2332124
3,ABW,516,119,474463
3,ABW,18060,4569,18270552
3,ABW,289,2769,11071194
3,ABW,130,1067,4221834
3,ABW,40,103,414230
3,ABW,80,86,344548
3,ABW,70,206,829666
3,ABW,50,1406,5529222
3,ABW,90,2271,8952728
3,ABW,54,1218,4803399
3,ABW,159,4085,16108894
3,ABW,58,1749,6894506
3,ABW,337,9732,38374751
3,ABW,148,2788,10994469
3,ABW,36,500,1973092
3,ABW,36,629,2481743
3,ABW,2325,744,2925847
3,ABW,1296,569,2237250
3,ABW,5380,2389,9553240
3,ABW,2018,597,2388270
3,ABW,1345,448,1791213
3,ABW,336,119,477662
3,ABW,8743,2258,9027836
3,ABW,108,358,1432986
3,ABW,0,35,139410
3,ABW,32,358,1369823
3,ABW,13,93,355451
3,ABW,680,190,749964
3,ABW,1040,273,1075659
3,ABW,710,213,839865
3,ABW,360,72,283898
3,ABW,370,358,1412590
3,ABW,1718,1216,4793423
3,ABW,198,2403,9475022
3,ABW,40,82,322438
3,ABW,35,79,312211
3,ABW,84,183,722070
3,ABW,90,183,714357
3,ABW,70,158,615471
3,ABW,204,444,1732284
3,ABW,188,717,2860507
3,ABW,3,32,127586
3,ABW,79,416,1660850
3,ABW,10,54,214638
3,ABW,1571,7530,30041391
3,ABW,30,61,245200
3,ABW,30,68,271340
3,ABW,84,183,732207
3,ABW,447,345413,1356311290
3,BIH,1600,272,1087976
3,BIH,32960,9098,36378444
3,BIH,9900,1188,4750230
3,AGO,1,1608,6404935
3,AGO,40,1474,5893804
3,AIA,2,1481,5734430
3,ATG,6,657,2601491
3,ATG,10,1791,7087823
3,ATG,259,17825,70528456
3,ATG,396,10396,41136218
3,ATG,12,1323,5233211
3,ATG,12,1309,5178766
3,ATG,210,3873,15323344
3,ATG,276,9199,36399027
3,SAU,11,3044,12044377
3,SAU,2,736,2912175
3,SAU,7,2372,9385435
3,SAU,3,744,2943829
3,SAU,3,588,2326575
3,SAU,210,21,82224
3,SAU,5500,860,3367191
3,SAU,30001,24099,95375675
3,SAU,60,6,23493
3,SAU,319,2526,9920736
3,SAU,2088,1421,5684310
3,SAU,70,7,27408
3,SAU,23307,18140,72069744
3,SAU,2205,1377,5392645
3,SAU,4,11208,44192140
3,SAU,4,2248,8865824
3,SAU,53,68634,271507868
3,SAU,3,11274,43090747
3,SAU,1,50,199926
3,SAU,3750,1395,5579874
3,SAU,800,152,607986
3,SAU,1560,1474,5897867
3,SAU,500,150,599986
3,SAU,109,1630,6519853
3,SAU,2846,10472,41705258
3,SAU,3960,18596,71075453
3,SAU,180,2466,9862594
3,SAU,1,4878,19427432
3,SAU,6,13693,55391359
3,SAU,44004,220790,863959006
3,SAU,12960,32374,128949702
3,SAU,238,1078,4180295
3,SAU,164,877,3400893
3,SAU,328,716,2770827
3,SAU,138,373,1447143
3,SAU,180,1000,3879997
3,SAU,398,1592,6176460
3,SAU,44,147,560848
3,SAU,4288,17672,70501333
3,SAU,1577,22374,87647637
3,SAU,1276,3412,13208807
3,SAU,258,3412,13208768
3,SAU,134,3412,13208768
3,SAU,1,6000,23937300
3,SAU,111,3412,13208768
3,SAU,600,156,613484
3,SAU,3,288,1127644
3,SAU,5,1160,4541899
3,SAU,3,336,1315584
3,SAU,6,963,3770559
3,SAU,6,612,2396243
3,SAU,4,928,3633519
3,SAU,3797,8480,33200967
3,ARG,21710,7235,28934276
3,ARG,184,368,1471452
3,ARG,20971,3054,12211450
3,ARG,3800,1000,4023210
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,1,105,411742
3,ARG,2,3969,15806304
3,ARG,7000,91000,363948130
3,ARG,75,2238,8927815
3,ARG,1043,23072,89322482
3,ARG,2,15266,60388803
3,ARG,600,48993,189675073
3,ARG,400,92,367863
3,ARG,900,54,215920
3,ARG,623,5700,23057754
3,ARG,9,89,358285
3,ARG,1,2487,9761506
3,ARG,9,3545,13940088
3,ARG,9,2051,8064916
3,ARG,591,490,1930981
3,ARG,1,4,17077
3,ARG,1,146,576566
3,ARG,1,597,2355620
3,ARG,8,206,810279
3,ARG,3,1572,6208763
3,ARG,7,1584,6253737
3,ARG,4,598,2349024
3,ARG,3,963,3729948
3,ARG,1,11541,45962032
3,ARG,237,923,3692157
3,ARG,2155,1844781,7224103382
3,AUS,137680,23242,91240901
3,AUS,11680,3270,13039787
3,AUS,5200,728,2857961
3,AUS,9450,5202,20594989
3,AUS,3965,2657,10580308
3,AUS,3,799,3054582
3,AUS,440,79,310842
3,AUS,1800,378,1483941
3,AUS,126304,8484,33793443
3,AUS,12100,4114,16551486
3,AUS,577600,107499,430157783
3,AUS,4858,6431,25438998
3,AUS,65120,11695,45992427
3,AUS,4020,724,2862475
3,AUS,300,94,378228
3,AUS,632,12954,52401133
3,AUS,1,102,412208
3,AUS,445,6246,25265190
3,AUS,1,1461,5843542
3,AUS,5320,958,3814264
3,AUS,12,750,2993160
3,AUS,800,144,566293
3,AUS,31100,5586,21967448
3,AUS,56150,14827,59058165
3,AUS,340000,69560,277067914
3,AUS,5,5,19993
3,AUS,270,378,1511437
3,AUS,46,19,75972
3,AUS,11,5016,19726147
3,AUS,3650,1076,4301903
3,AUS,31800,6746,26981393
3,AUS,252980,49729,198799227
3,AUS,175,918,3552055
3,AUS,31,26522,103845465
3,AUS,48,7222,28476563
3,AUS,5,552,2176553
3,AUS,8,860,3391794
3,AUS,23,2539,10012142
3,AUS,78,697,2820327
3,AUS,22260,3339,13211622
3,AUS,28250,6808,26959594
3,AUS,440,568,2245357
3,AUS,420,694,2753316
3,AUS,750,1328,5251431
3,AUS,75,269,1065121
3,AUS,19800,2844,11297557
3,AUS,1800,378,1495323
3,AUS,45,90,357809
3,AUS,61,684,2705822
3,AUS,360,61,242100
3,AUS,7150,1287,5091218
3,AUS,43500,14495,57735759
3,AUS,319070,72546,288957086
3,AUS,110846,40765,159073954
3,AUS,26500,5468,21861853
3,AUS,63500,12575,50079938
3,AUS,2448,6289,24732845
3,AUS,961,6418,25392507
3,AUS,24075,5290,20642338
3,AUS,26850,5997,23883052
3,AUS,2600,840,3345300
3,AUS,800,200,798176
3,AUS,300,75,299316
3,AUS,28660,6893,27065102
3,AUS,131,8372,33400393
3,AUS,4000,138,551874
3,AUS,168,913,3512119
3,AUS,422,11356,44006500
3,AUS,25,164,652134
3,AUS,303,3187,12509041
3,AUS,277,329,1312366
3,AUS,1489,42292,166689269
3,AUS,22,301,1199937
3,AUS,673,13947,55071854
3,AUS,4147,54352,215108574
3,AUS,310,4727,18589353
3,AUS,110,626,2495464
3,AUS,120,993,3960825
3,AUS,273,2988,11922611
3,AUT,324,751,2992052
3,AUT,56,209,831148
3,AUT,7520,1278,4949262
3,AUT,24480,4182,16191178
3,AUT,16000,2603,10302147
3,AUT,63200,10794,42766885
3,AZE,6,504,2015249
3,AZE,7,2064,8252925
3,AZE,1,368,1471452
3,AZE,2,736,2942903
3,AZE,2,496,1983261
3,AZE,2,496,1983261
3,AZE,2,392,1567416
3,AZE,2,256,1023619
3,AZE,2,208,831690
3,AZE,5080,3509,13881455
3,AZE,900,636,2543052
3,AZE,1776,1587,6280328
3,AZE,2532,2217,8866256
3,AZE,600,204,815982
3,AZE,6800,1008,4031909
3,AZE,52300,8019,32075278
3,AZE,7200,1005,4004818
3,AZE,50900,7356,29300529
3,BHS,775,202,806886
3,BHS,2,366,1447383
3,BHS,222,4498,17797467
3,BHS,36,1220,4825981
3,BHS,24,1340,5335754
3,BHS,12,351,1398335
3,BHS,51,1335,5317354
3,BHS,80,5164,20307423
3,BHS,32,1120,4404501
3,BHR,800,256,1012931
3,BHR,732,402,1589668
3,BHR,180,65,256398
3,BHR,30,432,1709320
3,BHR,3312,2170,8680763
3,BHR,3605,2105,8397604
3,BHR,240,67,268098
3,BHR,27,73,289854
3,BHR,8,39,154387
3,BHR,103,256,1020762
3,BHR,4,22,87191
3,BHR,250,45,179530
3,BHR,11000,1320,5266206
3,BHR,108,108,428708
3,BHR,2930,900,3586392
3,BHR,14125,3531,13826362
3,BHR,13045,2692,10763323
3,BHR,250,25,98576
3,BHR,180,18,70975
3,BHR,6696,4350,17152575
3,BHR,407,1504,5931066
3,BHR,28,212,835922
3,BRB,1,0,39
3,BRB,4,517,2047069
3,BRB,16,2889,11486898
3,BRB,448,32266,128355689
3,BRB,3889,61076,243153546
3,BRB,10,915,3634924
3,BRB,12,1416,5626209
3,BRB,3511,47030,187326708
3,BRB,1,1018,3941949
3,BEL,544,15917,62321860
3,BEL,88,2659,10589842
3,BEL,364,2458,9832579
3,BEL,320,956,3823914
3,BEL,360,1080,4319903
3,BEL,433,3533,14131042
3,BEL,11880,16368,64654664
3,BEL,16350,2971,11663463
3,BEL,656,5576,21438661
3,BEL,240,2040,7843412
3,BEL,42,65102,260372492
3,BEL,58,5440,21668336
3,BEL,2415,150,599986
3,BEL,163,6673,25654956
3,BEL,1323,7173,27578015
3,BEL,162300,52501,211222548
3,BEL,1200,15708,62823046
3,BEL,86895,17038,66961003
3,BLZ,2,216,845733
3,BLZ,930,19784,77635944
3,BLZ,10,310,1213783
3,BMU,20,785,3099525
3,BMU,42,2383,9410003
3,BMU,100,626,2471549
3,BMU,49,2808,11087105
3,BMU,169,3366,13292405
3,BMU,2,2,7107
3,BLR,3384,3370,13336260
3,BLR,26270,26325,104161232
3,BLR,69500,23706,94821986
3,BLR,7400,1417,5667872
3,BLR,38550,7553,30213280
3,BLR,7700,2834,11286256
3,BLR,3000,570,2270395
3,BLR,640,235,936837
3,BLR,9600,3294,13177703
3,BLR,12800,2432,9727781
3,BLR,53250,17739,70954443
3,BLR,85150,16342,65368529
3,BLR,8000,1440,5662930
3,BLR,53200,9300,36573048
3,BLR,1024,3226,12897594
3,BLR,80,184,735726
3,BLR,11250,1462,5849868
3,BLR,8875,2537,10145739
3,BLR,2400,335,1338701
3,BLR,1200,163,645743
3,BLR,10800,1469,5811689
3,BLR,140,38,147425
3,BLR,314,474,1836809
3,BLR,655,345,1337509
3,BOL,706,17528,69208588
3,BOL,121,5555,21933232
3,BOL,80,585,2308711
3,BOL,3,41,166259
3,BOL,14,95,383406
3,BOL,639,2347,9495992
3,BOL,985,3650,14765255
3,BOL,835,10996,44481320
3,BOL,13,45,181428
3,BOL,95,377,1525695
3,BOL,31,402,1627716
3,BOL,70,292,1180800
3,BOL,80000,2328,8950718
3,BOL,200,31000,121378330
3,BOL,32,207,838817
3,BOL,273,944,3818647
3,BOL,14,59,240407
3,BOL,28,2009,7724223
3,BOL,4,10729,42010293
3,BOL,435,951,3769044
3,BOL,5601,12603,50154189
3,BOL,494,1234,4872182
3,BOL,395,741,2945285
3,BOL,27,60,236281
3,BOL,161,307,1212138
3,BOL,400,763,3029381
3,BOL,184,336,1327381
3,BOL,74,161,639423
3,BOL,78,184,724557
3,BOL,6,84,335979
3,BOL,126,1259,5014621
3,BOL,18,201,799640
3,BOL,94,9606,38860204
3,BOL,1003,3662,14337052
3,BOL,636,51348,206100053
3,BOL,384,28678,115121381
3,BOL,38400,2843,11246725
3,BOL,383,8713,35245840
3,BOL,1150,72025,287788938
3,BOL,33,2533,9960307
3,BOL,40,22000,87799360
3,BOL,275,27200,109671316
3,BOL,114,2810,11165181
3,BOL,2715,100936,401167253
3,BOL,1615,57714,228690124
3,BOL,55,1321,5273708
3,BOL,58,4402,17312048
3,BOL,44,3352,13182042
3,BOL,3461,153237,608459777
3,BOL,74,674,2684324
3,BOL,1489,10860,43255097
3,BOL,6,236,925608
3,BOL,104,3680,14657992
