FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;68;67;M3;110,11;115667,45;88974,96;108082,89;457256555,3
2310;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;68;67;M3;21,58;22674,26;17441,74;18547;78465123,66
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;6;2;5;33;KG;576;654;576;4475,52;18142683,95
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;84;100,75;84;525;2221070,25
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;30;35,98;30;114;482289,54
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;90;107,95;90;313,5;1326296,23
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;5;5,99;5;30,7;129879,72
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;144;172,72;144;768;3249108,48
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;8;9,59;8;37;156532,57
2310;3;23;DEU;3;BOG;5;3;23;1;198;1;8;2;5;33;KG;32;43,89;32;33556,12;142239359,3
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;20;16;13,73;3280;13876400,8
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;50;40,02;34,34;7741,4;32750844,25
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;18;14,4;12,36;6624;28023560,64
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;25;20,01;17,17;6200;26229781
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;30;24;20,6;4920;20814601,2
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;35;28,01;24,04;6860;29021984,6
2310;3;23;DEU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;20;16;13,73;2560;10830361,6
2310;3;23;DEU;3;BOG;8;3;23;1;198;1;8;2;8;33;KG;1031;1197;1031;107926,11;456245758,2
2310;3;23;DEU;3;BOG;11;1;211;1;198;1;8;2;11;11;U;2;67;60;11612,12;48933125,31
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;6;1;11;11;U;8960;340;312;1612,8;6823127,8
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;6;1;11;11;U;140;11345,41;8191,68;200771,94;846571856,7
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;11;U;4900;168,57;154;882;3715425
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;6;2;11;11;U;14400;548,42;501;2592;10918800
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;1;11;11;U;10555;366,28;315;1891,9;8006464,04
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;1;11;11;U;37203;1440,71;1239;6639,34;28097487,69
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;58832;1031;848,8;15773,71;66022338,45
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;2825;111,12;92;452;1912235,72
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;23620;883,87;787;4263,4;17894159,85
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;9;11,4;9;18;76537,62
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;49,5;61,98;49,5;144,5;614427
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;78;98,85;78;195;829157,55
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;20;25,34;20;75;318906,75
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;270,6;341,06;270,6;1030,5;4381778,74
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;99;124,17;99;367,2;1561367,44
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;81;98,03;81;276,9;1177403,72
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;196,2;245,57;196,2;1008;4286106,72
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;1770,6;2227,54;1770,6;7254;30844660,86
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;29;36,38;29;164;697342,76
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;32,5;40,56;32,5;121,5;516628,93
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;140;145;140;3176,6;13465130,91
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;30;33;30;45144,57;190572836,4
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;15;53;C/T;284,78;0,08;0,05;98500;417526725
2310;3;23;DEU;3;BOG;11;3;23;1;198;1;8;2;11;33;KG;0,27;0,41;0,27;61500;260689275
2310;3;23;DEU;3;BOG;11;3;23;1;199;1;8;2;11;11;U;106196;2282;1846,8;28408,36;119702134,9
2310;3;23;DEU;3;BOG;11;3;23;1;199;1;8;2;11;82;M2;10;13,74;10,54;619,91;2554413,54
2310;3;23;DEU;3;BOG;11;3;23;1;199;1;8;2;11;11;U;270;371,22;284,6;9614,38;39617206,51
2310;3;23;DEU;3;BOG;11;3;23;1;199;1;8;2;11;11;U;12;16,5;12,65;353,54;1456803,99
2310;3;23;DEU;3;BOG;11;3;23;1;199;1;8;2;11;11;U;1;1,36;1,05;60,8;250533,69
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;6;2;11;11;U;32;142;108;150;637350
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;3;90;67;120;494474,4
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;1;22;20,9;3710;16274508,6
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;31;3,34;2,32;2409,64;10154150,67
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;4;1,41;0,98;327,86;1381592,2
2310;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;27;2,24;1,56;3172,02;13366797,11
2310;3;23;DEU;3;BOG;11;3;23;1;198;2;6;1;11;11;U;8;370,99;264;3407,1;13811565,69
2310;3;23;DEU;3;BOG;11;3;23;1;198;2;6;2;11;11;U;24;619;480;1519,78;6377092,95
2310;3;23;DEU;3;BOG;11;3;23;1;198;2;8;2;11;11;U;2;19;10;100;405376
2310;3;23;DEU;3;BOG;11;3;23;4;201;2;8;2;11;11;U;2;122;110,34;5499,78;22662503,46
2310;3;23;DEU;3;BOG;11;3;573;1;198;1;6;1;11;11;U;37600;1499;1289;6812;28848854,24
2310;3;23;DEU;3;BOG;11;3;573;1;198;1;6;2;11;11;U;11520;379,96;342;2073,6;8735040
2310;3;23;DEU;3;BOG;11;3;573;1;198;1;6;2;11;11;U;63680;2361,02;1976;11503,84;48459926
2310;3;23;DEU;3;BOG;11;5;245;1;198;1;6;1;11;11;U;4400;165,14;154;836;3552164
2310;3;23;DEU;3;BOG;11;5;245;1;198;1;6;1;11;11;U;8800;338,85;316;1672;7104328
2310;3;23;DEU;3;BOG;11;5;245;1;198;1;8;1;11;11;U;5476;233,18;217;930,92;3921500,5
2310;3;23;DEU;3;BOG;11;5;245;1;198;1;8;1;11;11;U;16438;688,81;641;3463,8;14591257,5
2310;3;23;DEU;3;BOG;11;5;245;1;198;1;8;1;11;11;U;2802;72;70;3965,94;16778345,42
2310;3;23;DEU;3;BOG;11;5;245;1;104;2;8;2;76;11;U;1;79,39;71,89;2402,24;9948708,8
2310;3;23;DEU;3;BOG;11;5;245;1;104;2;8;2;76;11;U;1;11,96;10,83;361,98;1499114,83
2310;3;23;DEU;3;BOG;11;5;245;1;104;2;8;2;76;11;U;1;88,64;80,26;2681,95;11107108,18
2310;3;23;DEU;3;BOG;11;5;245;1;198;2;8;2;11;33;KG;50;52,42;50;434,5;1846498,99
2310;3;23;DEU;3;BOG;11;5;245;1;198;2;8;2;11;33;KG;300;314,57;300;684,5;2908926,49
